Object or Collection of Objects, Mass [kg],
mass_ESC, 0.158105,
mass_MPPT, 5.700000,
mass_avionics, 3.179000,
mass_battery_pack, 148.388734,
mass_boom, 5.570522,
mass_fairings, 2.067000,
mass_fuse, 8.365522,
mass_hstab, 0.442627,
mass_hstab_primary, 0.153642,
mass_hstab_secondary, 0.288985,
mass_landing_gear, 0.728000,
mass_motor_mounted, 6.052850,
mass_motor_raw, 3.026425,
mass_payload, 30.000000,
mass_power_systems, 173.558182,
mass_power_systems_misc, 0.314000,
mass_propellers, 4.425676,
mass_propulsion, 10.636631,
mass_solar_cells, 18.287448,
mass_structural, 73.746286,
mass_total, 291.120099,
mass_vstab, 0.719835,
mass_vstab_primary, 0.185792,
mass_vstab_secondary, 0.534043,
mass_wing, 20.580241,
mass_wing_primary, 12.522708,
mass_wing_secondary, 8.057533,
mass_wires, 0.868000,
max_mass_total, 291.120099,
structural_mass_margin_multiplier, 1.500000,
